courier,week,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
3767,2,6,34,38,0.0789,0.9211,140.4737,0.1316,2162.4737,0.7632,7.34077632,8,20.20815789,5.23631579,0.8158,43.38480392,1,19
3767,4,-1,42,37,0,1,135.5946,0.0811,2097.4054,0.9459,11.88378378,19,18.85540541,5.68945946,0.8919,35.07804233,3,11
3767,5,24,41,43,0.0233,0.9767,131.093,0.0233,2043.8837,0.9302,7.0721,16,18.92511628,5.13860465,0.9302,31.45528455,1,10
3767,6,-22,65,66,0.0606,0.9394,120.1515,0,2124.2727,0.7727,7.35656667,33,18.25969697,4.70439394,0.7879,34.25299145,1,30
6282,2,9,33,27,0.0741,0.9259,100,0.037,4075.7407,0.8889,8.50123333,5,26.8637037,4.82851852,0.8889,46.47811448,1,4
6282,3,-20,42,56,0.0536,0.9464,113.4821,0.0357,4777.0714,0.9107,8.210125,16,23.65178571,5.55357143,0.9107,79.40740741,2,5
6282,4,9,22,32,0.125,0.875,105,0.0938,5744.1875,0.8125,8.28542188,12,18.1809375,5.834375,0.7813,87.25,1,2
6282,5,21,31,48,0.0417,0.9583,117.25,0.0833,4011.7708,0.9167,9.76805208,17,20.34666667,5.61541667,0.9167,85.08333333,2,9
6282,6,-12,52,72,0.0694,0.9306,107.6389,0.0417,4000.3333,0.8472,7.73611389,17,21.94111111,5.09305556,0.875,73.90491453,1,13
6282,7,1,40,56,0.0893,0.9107,124.375,0.0893,3192,0.9107,7.40535536,11,18.59107143,5.35321429,0.9107,65.61875,2,4
6282,9,5,34,40,0.025,0.975,100,0,4124.525,0.925,7.535005,10,21.52325,4.685,0.925,67.20179739,2,3
6282,10,1,39,47,0.0638,0.9362,103.8298,0.0638,4378.7021,0.9149,6.77233617,10,19.02340426,5.03319149,0.8936,61.63319088,1,6
6282,11,10,40,41,0,1,100,0.0488,4432.4146,0.9756,8.8256122,12,18.78902439,4.69487805,0.9512,60.95347222,3,9
10622,0,5,82,45,0.1111,0.8889,100,0.0889,2476.2889,0.5333,10.69370222,19,24.36888889,4.148,0.6222,29.11517615,3,18
10622,1,-12,87,63,0.127,0.873,100.3175,0.0635,2677.4921,0.7143,9.7060873,22,18.76714286,4.21174603,0.6984,42.17720307,2,13
13096,5,-10,64,95,0.1684,0.8316,108.1158,0.0737,4656.7053,0.7053,10.15281263,40,17.06589474,5.37336842,0.7263,83.05295139,2,25
13096,6,10,54,84,0.1548,0.8452,100.4762,0.0119,4523.8452,0.6667,9.10853095,29,18.73892857,4.96,0.7143,85.64300412,4,13
13096,8,1,53,74,0.0541,0.9459,106.3108,0.027,3612.473,0.8784,9.48896757,23,22.55310811,4.99783784,0.8514,73.03039832,5,12
13096,9,26,54,80,0.075,0.925,105.225,0.025,3866.3375,0.875,9.41229125,24,20.007375,5.08325,0.8625,76.81944444,2,12
13096,10,21,80,71,0.0282,0.9718,111.493,0.0704,4339.7887,0.8873,9.10821408,40,20.88901408,5.19690141,0.8732,47.09618056,1,9
13096,11,-25,101,71,0.0282,0.9718,108.2394,0.0141,3775.1127,0.9155,8.46478592,34,21.5184507,4.93915493,0.8592,33.76705171,2,8
14261,0,4,79,59,0.0339,0.9661,123.5763,0.1695,3788.9831,0.8136,9.36186271,21,19.36152542,5.57813559,0.8475,41.78691983,2,4
14261,1,-16,83,72,0.0139,0.9861,112.6528,0.1111,3706.1944,0.9167,9.35324028,29,20.06152778,5.39819444,0.9167,44.11546185,3,5
14261,2,2,67,53,0.0377,0.9623,100,0.1509,4125.6415,0.8868,11.75126038,27,20.42113208,4.90924528,0.9245,45.10862355,3,10
14261,3,3,69,76,0.0132,0.9868,115.9079,0.1447,4456.1447,0.9342,10.39517763,34,19.92026316,5.79289474,0.9605,59.38727858,3,2
14261,4,7,72,88,0.0227,0.9773,117.375,0.2273,3858.7955,0.9432,9.11061023,32,23.05852273,5.45738636,0.9091,62.53279321,4,6
14261,5,-1,79,77,0.026,0.974,112.4286,0.039,3520.1299,0.8571,10.40433247,39,21.7212987,5.36428571,0.8442,50.33579466,3,13
14261,6,-1,78,71,0,1,126.5634,0.0282,4325.9437,0.8732,9.78638873,49,24.63661972,5.74507042,0.8873,46.51282051,1,6
14261,7,-27,77,71,0,1,116.5352,0.1127,3184.169,0.9155,9.8502338,48,20.15422535,5.22605634,0.9155,44.71320346,1,8
18869,2,-19,114,60,0.2167,0.7833,100,0.05,5386.15,0.55,8.69306,16,18.56983333,5.2955,0.6333,34.4461501,2,11
18869,5,-16,121,63,0.1905,0.8095,100,0.0476,4458.5873,0.7143,9.51005238,36,22.28365079,5.08634921,0.6984,32.52708907,2,17
18920,0,44,99,35,0.0286,0.9714,140.7714,0.1429,6740.3143,0.7429,9.34857429,13,21.52114286,9.34485714,0.8,17.60353535,1,15
18920,1,-30,143,49,0.0408,0.9592,125.2449,0.1837,6635.8367,0.6327,7.04489184,14,22.22265306,7.95489796,0.7755,15.32711733,2,26
