,courier,feature_1_x,feature_2_x,week,feature_1_y,feature_2_y,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
0,208,a,25.0,,,,,,,,,,,,,,,,,,
1,218,c,0.0,,,,,,,,,,,,,,,,,,
2,225,c,,,,,,,,,,,,,,,,,,,
3,231,c,0.0,,,,,,,,,,,,,,,,,,
4,242,c,,,,,,,,,,,,,,,,,,,
5,350,a,,,,,,,,,,,,,,,,,,,
6,645,a,,,,,,,,,,,,,,,,,,,
7,1210,a,,,,,,,,,,,,,,,,,,,
8,1288,c,,,,,,,,,,,,,,,,,,,
9,1304,c,,,,,,,,,,,,,,,,,,,
10,1449,c,,,,,,,,,,,,,,,,,,,
11,1504,c,,,,,,,,,,,,,,,,,,,
12,1508,c,,,,,,,,,,,,,,,,,,,
13,1542,c,,,,,,,,,,,,,,,,,,,
14,1543,d,,,,,,,,,,,,,,,,,,,
15,1544,b,,,,,,,,,,,,,,,,,,,
16,1683,c,,,,,,,,,,,,,,,,,,,
17,1711,c,,,,,,,,,,,,,,,,,,,
18,1727,a,,,,,,,,,,,,,,,,,,,
19,1742,c,,,,,,,,,,,,,,,,,,,
20,1966,c,,,,,,,,,,,,,,,,,,,
21,1968,c,,,,,,,,,,,,,,,,,,,
22,2001,a,,,,,,,,,,,,,,,,,,,
23,2005,c,,,,,,,,,,,,,,,,,,,
24,2007,a,24.0,,,,,,,,,,,,,,,,,,
25,2249,c,,,,,,,,,,,,,,,,,,,
26,2336,a,,,,,,,,,,,,,,,,,,,
27,2520,a,,,,,,,,,,,,,,,,,,,
28,2591,c,,,,,,,,,,,,,,,,,,,
29,2652,c,,,,,,,,,,,,,,,,,,,
30,2771,a,,,,,,,,,,,,,,,,,,,
31,2835,c,,,,,,,,,,,,,,,,,,,
32,2905,c,,,,,,,,,,,,,,,,,,,
33,3097,c,,,,,,,,,,,,,,,,,,,
34,3192,c,,,,,,,,,,,,,,,,,,,
35,3193,b,,,,,,,,,,,,,,,,,,,
36,3221,c,,,,,,,,,,,,,,,,,,,
37,3417,c,,,,,,,,,,,,,,,,,,,
38,3479,c,,,,,,,,,,,,,,,,,,,
39,3624,c,,,,,,,,,,,,,,,,,,,
40,3642,c,,,,,,,,,,,,,,,,,,,
41,3647,c,,,,,,,,,,,,,,,,,,,
42,3767,b,33.0,2.0,6.0,34.0,38.0,0.0789,0.9211,140.4737,0.1316,2162.4737,0.7632,7.34077632,8.0,20.20815789,5.23631579,0.8158,43.38480392,1.0,19.0
43,3767,b,33.0,4.0,-1.0,42.0,37.0,0.0,1.0,135.5946,0.0811,2097.4054,0.9459,11.88378378,19.0,18.85540541,5.68945946,0.8919,35.07804233,3.0,11.0
44,3767,b,33.0,5.0,24.0,41.0,43.0,0.0233,0.9767,131.093,0.0233,2043.8837,0.9302,7.0721,16.0,18.92511628,5.13860465,0.9302,31.45528455,1.0,10.0
45,3767,b,33.0,6.0,-22.0,65.0,66.0,0.0606,0.9394,120.1515,0.0,2124.2727,0.7727,7.35656667,33.0,18.25969697,4.70439394,0.7879,34.25299145,1.0,30.0
46,3784,c,,,,,,,,,,,,,,,,,,,
47,4110,c,,,,,,,,,,,,,,,,,,,
48,4246,b,,,,,,,,,,,,,,,,,,,
49,4513,a,,,,,,,,,,,,,,,,,,,
50,4564,c,,,,,,,,,,,,,,,,,,,
51,4984,a,,,,,,,,,,,,,,,,,,,
52,4986,a,,,,,,,,,,,,,,,,,,,
53,4987,c,,,,,,,,,,,,,,,,,,,
54,5183,d,,,,,,,,,,,,,,,,,,,
55,5229,c,,,,,,,,,,,,,,,,,,,
56,5230,a,,,,,,,,,,,,,,,,,,,
57,5410,a,,,,,,,,,,,,,,,,,,,
58,5411,a,,,,,,,,,,,,,,,,,,,
59,5412,a,,,,,,,,,,,,,,,,,,,
60,5413,b,,,,,,,,,,,,,,,,,,,
61,5428,a,,,,,,,,,,,,,,,,,,,
62,5432,a,,,,,,,,,,,,,,,,,,,
63,5455,a,,,,,,,,,,,,,,,,,,,
64,5472,b,,,,,,,,,,,,,,,,,,,
65,5473,b,,,,,,,,,,,,,,,,,,,
66,5474,a,,,,,,,,,,,,,,,,,,,
